x_norm,stage1_mean,stage1_p025,stage1_p975,stage2_mean,stage2_p025,stage2_p975,delta_mean,delta_p025,delta_p975
0.885,0.9406430887749383,0.9265879,0.95453775,0.9835909640401197,0.97418875,0.9925892,0.042947875265181755,0.028180445,0.057941653
0.89,0.9433202147142469,0.92948085,0.9569485,0.9849752381435837,0.97537655,0.99408334,0.04165502342933681,0.02689036,0.0570467
0.895,0.9461794159051176,0.93253213,0.9594206,0.9855915762111369,0.97591025,0.9946992,0.03941216030601946,0.025176266,0.054586694
0.9,0.9487451406974474,0.9352941,0.9617343,0.9863808324963806,0.9764957,0.995613,0.037635691798932995,0.023469724,0.052769937
0.905,0.9517532750536498,0.93892163,0.96404904,0.9866929646350443,0.97686607,0.9958005,0.03493968958139468,0.02166005,0.049152225
0.91,0.9556923850375141,0.9446104,0.96660805,0.9872800680733724,0.9774168,0.9963953,0.03158768303585836,0.01960929,0.04383622
0.915,0.9582554709300148,0.947933,0.96847403,0.9880064745225349,0.9781305,0.9971396,0.02975100359252015,0.018077672,0.041805524
0.92,0.9607277606985976,0.9510412,0.97029924,0.9885230304631494,0.9794124,0.9969808,0.02779526976455178,0.016726246,0.03937825
0.925,0.9629901949313143,0.95415276,0.9718399,0.9891814728983247,0.98067915,0.997212,0.026191277967010547,0.015727915,0.03704365
0.93,0.9648135628450211,0.95684385,0.97290814,0.9897711501755349,0.98179543,0.99730366,0.02495758733051399,0.015185603,0.03500717
0.935,0.9668582571392713,0.9594108,0.9745165,0.9898342821764182,0.9820625,0.9971633,0.022976025037147116,0.013296191,0.032963987
0.9400000000000001,0.9687715507569994,0.96139073,0.97628725,0.9907296277993117,0.983257,0.99785393,0.021958077042312604,0.012161518,0.0319002
0.9450000000000001,0.9709819081983279,0.9636598,0.9783399,0.9915686662458967,0.98406583,0.9988047,0.02058675804756903,0.010985088,0.030359268
0.9500000000000001,0.9725645402383226,0.965403,0.9797441,0.9922966495203157,0.9851427,0.9991781,0.01973210928199289,0.010406892,0.029121177
0.9550000000000001,0.9740709830496781,0.9669895,0.98115635,0.9928767645358708,0.9858034,0.9997069,0.018805781486192528,0.009589622,0.028042644
0.96,0.9761991875248768,0.9690922,0.98320735,0.9937375659551813,0.9865299,1.0007468,0.017538378430304202,0.008204952,0.026832582
0.965,0.9784074502378406,0.97155946,0.9850652,0.9942904105535355,0.98688847,1.0015267,0.015882960315694954,0.0065451856,0.025197204
0.97,0.9811204122259256,0.9745384,0.9875411,0.9947625259212595,0.98726183,1.0021487,0.013642113695333913,0.0043626516,0.022908937
0.975,0.9836268259981211,0.9772441,0.9899077,0.9961002518601497,0.9882374,1.0040566,0.012473425862028696,0.0029135258,0.02199937
0.98,0.9867401537891671,0.98072505,0.9930155,0.9967940258804315,0.9891214,1.004546,0.010053872091264416,0.0010011833,0.018904582
0.985,0.9897011890243027,0.9842656,0.9954829,0.9979701398404488,0.9908367,1.0053992,0.008268950816146358,8.252065e-05,0.016361076
0.99,0.9923241478385137,0.9869781,0.9979936,1.0001569841634943,0.99380296,1.0069869,0.007832836324980516,-0.00046186367,0.015936894
0.995,0.9953566764076734,0.9903842,1.0009336,1.0021177763274818,0.9970058,1.0079137,0.006761099919808488,-0.0006225554,0.0139072975
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
