figure_id,specimen_id,tube_id,soil_type,stage_index,q0_fraction,q0_kPa,q0_over_qpeak,y25,y50,y75,mean_y_10_90
F-39,ST-83,ST-83,ML,2,0.05,27.557100881488736,0.14435359288364974,0.7499707686671293,0.9327367543086985,0.9986682504552592,0.869008796200138
F-39,ST-83,ST-83,ML,2,0.1,44.6615083251714,0.23395237467350127,0.7207267454515622,0.9248694825178573,0.9985124858096772,0.8536877483988977
F-39,ST-83,ST-83,ML,2,0.15,66.2003917727718,0.3467804702607218,0.6724889509206454,0.911892477357929,0.9982555532079834,0.8284157962332612
F-40,ST-74,ST-74,ML,1,0.02,27.675496605372366,0.10174814928445723,0.34160439599265713,0.627017990555713,0.8607003711042145,0.6031317755775
F-40,ST-74,ST-74,ML,1,0.05,34.43093278463649,0.12658431170822237,0.3228824742554824,0.616411996305921,0.8567392924847174,0.5918465607425498
F-40,ST-74,ST-74,ML,1,0.1,44.455128405480025,0.16343797207897068,0.2930529356295366,0.5995135219087907,0.8504281269249296,0.5738658877888321
F-40,ST-74,ST-74,ML,1,0.15,51.86431647306003,0.19067763409213245,0.2692589569804398,0.5860342004868396,0.8453939311077041,0.5595233344653615
F-40,ST-74,ST-74,ML,2,0.02,15.254210727370596,0.04741750303814298,0.47217840701079333,0.8704011599114623,0.9656901757841223,0.7457238702309038
F-40,ST-74,ST-74,ML,2,0.05,20.048391241687067,0.06232014685013077,0.46378968332203035,0.8683414320141438,0.965144886165471,0.7416826331507742
F-40,ST-74,ST-74,ML,2,0.1,29.200917678109427,0.09077064867301657,0.44701124060036496,0.864221731827372,0.9640542422281202,0.7335996794871018
F-40,ST-74,ST-74,ML,2,0.15,45.54471488600649,0.14157511621388402,0.4142835086717746,0.8561859179216673,0.9619268515636059,0.717833213845192
F-41,ST-87,ST-87,ML,1,0.02,37.386837881219904,0.11756867258245253,0.3186481106496894,0.6039880564231045,0.8404760270446512,0.5821129363808625
F-41,ST-87,ST-87,ML,1,0.05,44.86420545746388,0.141082407098943,0.2999954161759624,0.5931468304619787,0.8361088975550588,0.5706728569680892
F-41,ST-87,ST-87,ML,1,0.1,54.52247191011236,0.17145431418274326,0.27433542597618593,0.5782328590618744,0.8301011596348384,0.5549350596203705
F-41,ST-87,ST-87,ML,1,0.15,63.55762439807384,0.1998667433901693,0.24856735151175643,0.5632560674650636,0.8240681160956259,0.5391309719802415
F-41,ST-87,ST-87,ML,2,0.02,19.316532905296953,0.04975922953451044,0.4510135135135135,0.8209459459459459,0.9510135135135136,0.7233540372670808
F-41,ST-87,ST-87,ML,2,0.05,19.316532905296953,0.04975922953451044,0.4510135135135135,0.8209459459459459,0.9510135135135136,0.7233540372670808
F-41,ST-87,ST-87,ML,2,0.1,38.633065810593905,0.09951845906902088,0.4206773618538324,0.8110516934046347,0.9483065953654191,0.7080670054583098
F-41,ST-87,ST-87,ML,2,0.15,59.19582664526485,0.15248796147672553,0.38446969696969696,0.7992424242424244,0.9450757575757577,0.6898211932994541
F-42,ST-34A,ST-34,ML,1,0.02,22.30697674418605,0.0880654431274617,0.29245321010399994,0.6024645866682775,0.875164859504465,0.5868135533506963
F-42,ST-34A,ST-34,ML,1,0.05,26.869767441860468,0.10607882922171523,0.2781954501104093,0.5944538591896472,0.8726493093000565,0.578487442239661
F-42,ST-34A,ST-34,ML,1,0.1,36.24883720930233,0.14310634508212525,0.24700531436163373,0.5769296704238631,0.8671463163759481,0.5602733233367398
F-42,ST-34A,ST-34,ML,1,0.15,42.58604651162791,0.16812493687969962,0.22435904510689017,0.5642058560596863,0.8631507499420574,0.5470485703495823
F-42,ST-34A,ST-34,ML,2,0.02,21.293023255813956,0.0673616680032077,0.411006018916595,0.775580395528805,0.9441100601891659,0.6951779238743239
F-42,ST-34A,ST-34,ML,2,0.05,24.081395348837212,0.07618283881315156,0.40538194444444436,0.7734375,0.9435763888888888,0.692267296411318
F-42,ST-34A,ST-34,ML,2,0.1,31.686046511627907,0.10024057738572574,0.3894830659536542,0.7673796791443851,0.9420677361853832,0.6840391492565407
F-42,ST-34A,ST-34,ML,2,0.15,48.162790697674424,0.15236567762630313,0.3519394512771996,0.7530747398297067,0.9385052034058656,0.664609201008362
F-43,ST-34B,ST-34,ML,1,0.02,37.51220930232558,0.21633338697996296,0.5364489340127583,0.7391623560820959,0.8528796416331874,0.695231594688149
F-43,ST-34B,ST-34,ML,1,0.05,40.759534883720924,0.23506075480807914,0.5251002009278448,0.7327764861822658,0.8492778169347458,0.6877702046960178
F-43,ST-34B,ST-34,ML,1,0.1,51.2853488372093,0.29576325742335235,0.48416566208271666,0.7097428455530735,0.8362861435974199,0.6608571954476493
F-43,ST-34B,ST-34,ML,1,0.15,63.15488372093023,0.36421501569163917,0.42862838410813947,0.67849232365933,0.8186598995051196,0.6243434025009651
F-43,ST-34B,ST-34,ML,2,0.02,18.812093023255812,0.07406335835927486,0.7284576014428842,0.9312830512563927,0.986512516463827,0.8588405407306353
F-43,ST-34B,ST-34,ML,2,0.05,26.426511627906976,0.10404138436183849,0.719372019873979,0.9289838396183803,0.9860612365440857,0.854117463273011
F-43,ST-34B,ST-34,ML,2,0.1,49.717674418604645,0.1957388756637978,0.6873763396302885,0.9208869621841181,0.9844720143349263,0.8374847276628303
