model,tube_id,specimen_id,stage,stage_index,soil_type,test_family,strain_confidence,eps_obs,eps_pred,lambda_obs,lambda_pred,protocol_group,log_eps_obs,log_eps_pred,eps_log_residual,log1p_lambda_obs,log1p_lambda_pred,lambda_log_residual,joint_absolute_shape_error
StateInteraction,ST-79,ST-79B,1st,1,ML,multistage,template_axis,3.285171102661597,4.255846691775296,0.9558105466274732,1.9005213723109744,multistage_stage1,1.1894187366262912,1.4482937297212088,-0.2588749930949177,0.6708047093692134,1.0648905043888102,-0.39408579501959673,0.3264803940572572
StateInteraction,ST-79,ST-79B,2nd,2,ML,multistage,template_axis,2.7528517110266155,3.609730857762523,4.966015388666184,2.1136329832838068,multistage_later,1.0126373602079517,1.2836332149290344,-0.2709958547210827,1.786079265483495,1.1357902062485992,0.6502890592348958,0.4606424569779892
StateInteraction,ST-79,ST-79B,3rd,3,ML,multistage,template_axis,3.7110266159695815,2.6748521477237466,4.633469921988288,2.549367894245968,multistage_later,1.3113085542353278,0.9838941069414501,0.3274144472938777,1.728725579473773,1.2667695296742418,0.4619560497995312,0.39468524854670445
StateInteraction,ST-80,ST-80A,1st,1,ML,multistage,template_axis,4.285714285714286,4.370221583549153,0.8578195921316184,2.1522435416757646,multistage_stage1,1.455287232606842,1.4748137134396675,-0.019526480832825488,0.6194035377933907,1.1481144347708652,-0.5287108969774744,0.27411868890514995
StateInteraction,ST-80,ST-80A,2nd,2,ML,multistage,template_axis,2.5112781954887216,3.420656930388524,2.0571599585960754,2.536390728632729,multistage_later,0.9207918647549466,1.229832617537495,-0.3090407527825484,1.1174863668901422,1.2631066388496413,-0.145620271959499,0.2273305123710237
StateInteraction,ST-80,ST-80A,3rd,3,ML,multistage,template_axis,2.571428571428571,3.2387682751882068,2.1624908445117144,2.745250980341774,multistage_later,0.9444616088408513,1.175193095545405,-0.2307314867045538,1.1513599590333894,1.3204886321713507,-0.16912867313796132,0.19993007992125755
StateInteraction,ST-80,ST-80B,1st,1,ML,multistage,template_axis,3.575091575091575,3.008364840820855,1.2102026607822007,2.083829109074786,multistage_stage1,1.2739907912281327,1.1013966888990434,0.17259410232908934,0.7930842130367196,1.1261720420629178,-0.33308782902619816,0.25284096567764375
StateInteraction,ST-80,ST-80B,2nd,2,ML,multistage,template_axis,1.3772893772893773,4.211491574195625,0.963619005993249,2.0250761688813657,multistage_later,0.32011734820493476,1.4378168781053948,-1.11769952990046,0.6747892023122047,1.1069362709612918,-0.43214706864908703,0.7749232992747734
StateInteraction,ST-80,ST-80B,3rd,3,ML,multistage,template_axis,2.578754578754579,3.2106400619068376,2.8412470777208414,2.4435733494711234,multistage_later,0.9473065609730827,1.1664703134977976,-0.21916375252471487,1.3457970736997145,1.2365096966240567,0.10928737707565772,0.1642255648001863
StateInteraction,ST-80,ST-80B,4th,4,ML,multistage,template_axis,1.655677655677656,4.114670241279934,0.9235575304172198,2.386896005847398,multistage_later,0.5042103846472716,1.4145586951415465,-0.9103483104942749,0.6541763519998626,1.219913869451475,-0.5657375174516125,0.7380429139729436
StateInteraction,ST-81,ST-81,1st,1,ML,multistage,template_axis,2.590909090909091,1.609509286036997,2.0879595144460916,3.6416183326867926,multistage_stage1,0.9520088144762343,0.47592934125670044,0.47607947321953387,1.1275105214697494,1.5350630840253396,-0.40755256255559025,0.4418160178875621
StateInteraction,ST-81,ST-81,2nd,2,ML,multistage,template_axis,1.8333333333333333,1.5933513435135382,2.8101903466204847,3.8080332048762857,multistage_later,0.6061358035703155,0.46583956123175096,0.14029624233856453,1.3376791476335725,1.5702881033813314,-0.23260895574775886,0.1864525990431617
StateInteraction,ST-81,ST-81,3rd,3,ML,multistage,template_axis,2.454545454545454,1.73883513590226,1.9766773456262745,3.72641968897896,multistage_later,0.8979415932059583,0.553215426911468,0.3447261662944904,1.090807693770282,1.5531679790916262,-0.4623602853213442,0.4035432258079173
StateInteraction,ST-81,ST-81,4th,4,ML,multistage,template_axis,2.333333333333333,1.9051208458129043,3.122536890156355,3.657818683821206,multistage_later,0.8472978603872034,0.6445454426889381,0.20275241769826535,1.4164687239031148,1.5385472449469453,-0.12207852104383043,0.1624154693710479
StateInteraction,ST-83,ST-83,1st,1,ML,multistage,template_axis,2.4842883548983363,1.6952756633503367,5.858299354618212,2.8070477153946136,multistage_stage1,0.9099862422366133,0.5278453608540975,0.3821408813825158,1.925459503513596,1.336854010916408,0.588605492597188,0.4853731869898519
StateInteraction,ST-83,ST-83,2nd,2,ML,multistage,template_axis,3.4750462107208873,1.6466515400711972,8.57722857627614,2.9845748969479877,multistage_later,1.2456077769775133,0.4987438562979475,0.7468639206795659,2.259388257465288,1.382430630754668,0.87695762671062,0.811910773695093
StateInteraction,ST-83,ST-83,3rd,3,ML,multistage,template_axis,2.410351201478743,1.637501599627973,2.547331618927098,3.109892817316112,multistage_later,0.8797724636401166,0.49317166539883733,0.3866007982412793,1.266195664211579,1.413396949656198,-0.14720128544461897,0.26690104184294916
StateInteraction,ST-85,ST-85,single,1,ML,single_stage,high_tick_calibrated,4.6654205607476635,3.231898733076147,1.4672078511482505,2.188826770349332,other,1.5401779825933117,1.1730698075801473,0.3671081750131644,0.9030870865917041,1.1596530655582304,-0.25656597896652633,0.31183707698984536
StateInteraction,ST-87,ST-87,1st,1,ML,multistage,template_axis,4.584103512014787,3.7100403219362583,0.9748019156223556,2.0692416027791176,multistage_stage1,1.5225945603125461,1.3110427450067135,0.21155181530583267,0.6804680974357015,1.1214304961555837,-0.4409623987198822,0.32625710701285743
StateInteraction,ST-87,ST-87,2nd,2,ML,multistage,template_axis,2.484288354898336,2.813362393444442,2.2698644913442263,2.431614484210986,multistage_later,0.9099862422366131,1.0343803493097878,-0.12439410707317478,1.1847485440946093,1.2330308455409005,-0.0482823014462912,0.08633820425973299
StateInteraction,ST-87,ST-87,3rd,3,ML,multistage,template_axis,2.853974121996303,2.6474842985064524,3.387075528012156,2.5783862765443577,multistage_later,1.0487124517382398,0.9736098677889455,0.07510258394929425,1.478662838359597,1.2749119380476466,0.20375090031195042,0.13942674213062234
StateInteraction,ST-91,ST-91,single,1,MH,single_stage,template_axis,6.278293135435993,5.110357621943374,2.621411436301523,2.4581546309632194,other,1.8370981498171168,1.631269386491527,0.20582876332558975,1.2868638493774172,1.2407351031390674,0.04612874623834973,0.12597875478196974
StateInteraction,ST-94,ST-94,single,1,MH,single_stage,high_tick_calibrated,6.433460076045627,5.988002123270182,3.5732464553547727,2.3477966446341605,other,1.861512507988404,1.789757821144858,0.07175468684354613,1.5202233368066487,1.2083024114259366,0.31192092538071203,0.19183780611212908
